firmware_size,done,not_done,missing,attempts,duration_sec,0237.vcc,0239.vcc,0241.vcc,0242.vcc,0237.ReadRate,0239.ReadRate,0241.ReadRate,0242.ReadRate,0237.peak_rssi,0239.peak_rssi,0241.peak_rssi,0242.peak_rssi
407,4,0,0,3,28.0181794,3452,3410,3526,3436,25.9592527992511,2.59552438157738,10.3800903638767,23.3530337796444,-21,-20,-20,-18
407,4,0,0,2,15.1963572,3452,3398,3518,3406,31.6739107540054,10.5559056597599,2.63866654458436,50.1301140301789,-21,-21,-18,-19
407,4,0,0,5,46.8173146,3104,3406,3518,3448,33.5884678904582,2.58313697187119,2.58236251566526,23.2371581781758,-21,-20,-19,-18
407,4,0,0,1,8.7104405,3476,3394,3534,3058,5.01547021788707,2.50707245138536,10.0271962630645,30.0785199763984,-20,-19,-19,-18
407,4,0,0,3,27.2891111,3452,3394,3468,3394,2.2199105553639,2.21966221180461,8.87781529394557,64.3578045378022,-20,-20,-18,-19
407,0,1,3,10,59.4215447,3460,3402,3522,3464,2.71770073820905,10.8464281356346,2.71105348013869,29.8161320453487,-21,-22,-17,-20
407,4,0,0,3,15.6480356,3018,3398,3502,3414,26.3242755888411,4.38658442113316,2.19294686884467,89.8980271329787,-21,-20,-18,-19
407,0,1,3,10,59.5490248,3436,3398,3518,3452,17.433582891844,1.93326635209845,7.73090722002954,77.2551403156143,-21,-20,-18,-18
407,4,0,0,5,36.873298,3456,3394,3510,3436,16.4589411140234,2.74278968590395,10.9699311444847,32.9065626380533,-21,-21,-17,-18
407,4,0,0,2,21.1631095,3464,3394,3514,3394,2.3657602571676,4.73039134527599,7.09417589441596,40.1952258475163,-20,-20,-19,-19
407,4,0,0,8,52.0294279,3468,3398,3542,3320,1.87959926191896,1.8770022921952,15.0112452991347,133.198334007767,-20,-20,-19,-18
407,4,0,0,2,15.8027851,3460,3398,3510,3432,10.1889541548008,2.54685123867383,15.2779012034148,17.8222530688647,-20,-20,-19,-18
