firmware_size,done,not_done,missing,attempts,duration_sec,AA00.vcc,0235.vcc,0237.vcc,0238.vcc,AA00.ReadRate,0235.ReadRate,0237.ReadRate,0238.ReadRate,AA00.peak_rssi,0235.peak_rssi,0237.peak_rssi,0238.peak_rssi
1280,4,0,0,1,33.6759535,3776,3768,3656,3660,38.4346869755553,60.3973652473011,2.74533478396823,120.794730494602,-17,-17,-16,-16
1280,4,0,0,2,55.3040082,3780,3776,3690,3644,29.2559027108253,103.725473247472,2.65962751916594,63.8310604599826,-16,-16,-16,-16
1280,4,0,0,1,24.2673581,3734,3718,3608,3666,45.0401758368465,76.2218360315863,3.46462891052665,3.46462891052665,-18,-16,-17,-17
1280,4,0,0,1,26.185006,3730,3710,3600,3702,7.29061889334724,221.1487730982,2.43020629778241,106.929077102426,-18,-16,-16,-17
1280,4,0,0,1,18.0245003,3734,3710,3702,3674,10.9210842452439,133.783282004237,2.73027106131097,13.6513553065548,-18,-16,-17,-17
1280,4,0,0,1,32.3667955,3780,3776,3612,3640,6.60005016038122,6.60005016038122,19.8001504811437,46.2003511226685,-17,-16,-17,-17
1280,4,0,0,1,17.2340594,3780,3764,3664,3652,63.6570487730946,117.952766844264,1.87226614038514,65.5293149134798,-18,-17,-16,-16
1280,4,0,0,1,30.5553238,3772,3764,3616,3664,6.56911098907163,13.1382219781433,19.7073329672149,13.1382219781433,-17,-17,-16,-16
1280,1,0,3,2,42.4995626,3756,3760,3640,3664,29.2959308928521,48.8265514880868,19.5306205952347,9.76531029761736,-17,-17,-16,-16
1280,4,0,0,1,29.5026257,3764,3756,3652,3678,12.1471997667738,6.07359988338688,6.07359988338688,6.07359988338688,-17,-17,-17,-17
1280,4,0,0,1,23.7157278,3788,3746,3624,3648,4.50570704118104,99.1255549059828,2.25285352059052,83.3555802618492,-17,-16,-16,-16
1280,4,0,0,1,24.4367552,3752,3776,3664,3666,7.73065770116524,7.73065770116524,7.73065770116524,15.4613154023305,-17,-17,-16,-16
1280,4,0,0,1,32.8849529,3756,3746,3670,3678,18.0951915647455,9.04759578237275,18.0951915647455,36.190383129491,-16,-16,-16,-17
1280,4,0,0,1,38.1223254,3760,3756,3632,3674,16.9837475725979,132.473231066263,3.39674951451958,10.1902485435587,-16,-16,-17,-17
1280,4,0,0,1,18.2904486,3780,3776,3660,3652,51.3234061035078,230.955327465785,2.13847525431282,149.693267801898,-19,-17,-16,-16
1280,4,0,0,1,18.9880766,3800,3776,3664,3652,42.2918901675585,287.987633045755,2.0138995317885,173.195359733811,-18,-17,-17,-17
1280,4,0,0,1,33.7825061,3772,3804,3670,3690,48.8172302998785,83.276451688028,2.87160178234579,43.0740267351869,-17,-17,-16,-16
1280,4,0,0,1,25.6457281,3730,3718,3608,3674,36.5057893969777,103.90109289909,2.80813764592136,2.80813764592136,-18,-16,-17,-17
1280,4,0,0,1,24.8789168,3746,3738,3686,3702,40.5899277655401,68.6906469878371,3.12230213581078,9.36690640743233,-17,-17,-16,-16
1280,4,0,0,1,28.4720458,3726,3710,3600,3666,60.0157755752941,143.609177269454,2.1434205562605,66.4460372440756,-17,-16,-16,-16
1280,4,0,0,1,32.3151875,3730,3714,3632,3666,34.5677751754448,53.1811925776073,2.65905962888037,15.9543577732822,-17,-16,-16,-16
1280,4,0,0,1,25.8739982,3734,3756,3624,3674,36.7086403748896,62.9290977855251,2.62204574106354,26.2204574106354,-17,-16,-16,-17
1280,4,0,0,1,24.9499259,3750,3738,3674,3682,11.2720700085724,39.4522450300034,5.6360350042862,129.628805098583,-17,-19,-17,-17
1280,4,0,0,1,26.1107377,3726,3714,3628,3670,34.740668923563,160.341548877983,2.67235914796639,24.0512323316975,-17,-16,-16,-16
1280,4,0,0,1,21.9646491,3752,3718,3698,3718,3.75647945750426,97.6684658951108,3.75647945750426,120.207342640136,-18,-16,-18,-17
1280,4,0,0,1,21.5156574,3800,3772,3694,3644,11.952225758421,65.7372416713156,2.98805643960525,224.104232970394,-16,-16,-16,-16
1280,4,0,0,2,34.2598144,3756,3756,3674,3664,49.1563383144377,284.251869383488,2.13723210062773,299.212494087882,-16,-16,-16,-16
1280,4,0,0,1,30.353435,3768,3796,3674,3690,60.0327396732091,90.0491095098136,2.72876089423678,27.2876089423678,-17,-16,-16,-16
1280,4,0,0,1,26.5525139,3750,3768,3660,3664,68.133688206616,30.9698582757346,6.19397165514691,111.491489792644,-17,-17,-17,-17
1280,4,0,0,1,21.325126,3768,3760,3670,3664,21.7185391350429,24.4333565269233,2.71481739188036,160.174226120941,-17,-16,-16,-16
1280,4,0,0,1,19.9930005,3780,3772,3660,3652,23.2217149352588,207.060291506058,1.93514291127157,67.7300018945049,-19,-16,-16,-17
